Player,Season,Age,Team,Cmp,PassAtt,Cmp_p,PassYds,PassTD,Int,PassTD_p,Int_p,Pos,ID
Bailey Zappe,2024,25,CLE,16,31,51.6,170,1,2,3.2,6.5,QB,ZappBa00
Brandon Allen,2024,32,SFO,17,30,56.7,199,1,2,3.3,6.7,QB,AlleBr00
Joe Milton,2024,24,NWE,22,29,75.9,241,1,0,3.4,0,QB,MiltJo00
Jeff Driskel,2023,30,CLE,13,26,50,166,2,2,7.7,7.7,QB,DrisJe00
Trevor Siemian,2022,31,CHI,15,26,57.7,184,1,1,3.8,3.8,QB,SiemTr00
Mitchell Trubisky,2024,30,BUF,19,26,73.1,179,2,0,7.7,0,QB,TrubMi00
Nick Mullens,2022,27,MIN,21,25,84,224,1,1,4,4,QB,MullNi00
Nathan Peterman,2022,28,CHI,14,25,56,139,1,1,4,4,QB,PeteNa00
Cooper Rush,2023,30,DAL,18,24,75,144,0,1,0,4.2,QB,RushCo00
Carson Wentz,2023,31,LAR,17,24,70.8,163,2,1,8.3,4.2,QB,WentCa00
Jacoby Brissett,2023,31,WAS,18,23,78.3,224,3,0,13,0,QB,BrisJa00
Marcus Mariota,2023,30,PHI,15,23,65.2,164,1,1,4.3,4.3,QB,MariMa01
Tyrod Taylor,2024,35,NYJ,17,22,77.3,119,3,0,13.6,0,QB,TaylTy00
Jordan Love,2022,24,GNB,14,21,66.7,195,1,0,4.8,0,QB,LoveJo03
Clayton Tune,2023,24,ARI,12,21,57.1,62,0,2,0,9.5,QB,TuneCl00
Jeff Driskel,2022,29,HOU,14,20,70,108,1,0,5,0,QB,DrisJe00
Jaren Hall,2023,25,MIN,13,20,65,168,0,1,0,5,QB,HallJa00
Taysom Hill,2022,32,NOR,13,19,68.4,240,2,0,10.5,0,TE/QB,HillTa00
Sam Howell,2022,22,WAS,11,19,57.9,169,1,1,5.3,5.3,QB,HoweSa00
Carson Wentz,2024,32,KAN,12,19,63.2,118,0,0,0,0,QB,WentCa00
Chris Streveler,2022,27,NYJ,10,15,66.7,90,0,0,0,0,QB,StreCh00
Sam Howell,2024,24,SEA,5,14,35.7,24,0,1,0,7.1,QB,HoweSa00
Chase Daniel,2022,36,LAC,8,12,66.7,52,1,0,8.3,0,QB,DaniCh00
C.J. Beathard,2022,29,JAX,7,11,63.6,35,0,1,0,9.1,QB,BeatC.00
Taysom Hill,2023,33,NOR,6,11,54.5,83,1,0,9.1,0,TE/QB,HillTa00
Mike White,2024,29,BUF,3,11,27.3,28,0,0,0,0,QB,WhitMi01
Hendon Hooker,2024,26,DET,6,9,66.7,62,0,0,0,0,QB,HookHe00
