Player,Season,Age,Team,RushAtt,RushYds,RushTD,Pos,ID
Antonio Gibson,2024,26,NWE,120,538,1,RB,GibsAn00
Daniel Jones,2022,25,NYG,120,708,7,QB,JoneDa05
Jaylen Warren,2024,26,PIT,120,511,1,RB,WarrJa01
Michael Carter,2022,23,NYJ,114,402,3,RB,CartMi03
Ray Davis,2024,25,BUF,113,442,3,RB,DaviRa04
Jaleel McLaughlin,2024,24,DEN,113,496,1,RB,McLaJa00
Devin Singletary,2024,27,NYG,113,437,4,RB,SingDe00
Lamar Jackson,2022,25,BAL,112,764,3,QB,JackLa00
Josh Allen,2023,27,BUF,111,524,15,QB,AlleJo02
James Robinson,2022,24,JAXNYJ,110,425,3,RB,RobiJa00
Kenyan Drake,2022,28,BAL,109,482,4,RB,DrakKe00
D'Onta Foreman,2023,27,CHI,109,425,4,RB,ForeDO00
Zach Charbonnet,2023,22,SEA,108,462,1,RB,CharZa00
Joshua Kelley,2023,26,LAC,107,405,2,RB,KellJo01
Damien Harris,2022,25,NWE,106,462,3,RB,HarrDa06
Jamaal Williams,2023,28,NOR,106,306,1,RB,WillJa06
Cam Akers,2024,25,HOUMIN,104,444,2,RB,AkerCa00
Jerome Ford,2024,25,CLE,104,565,3,RB,FordJe00
Zamir White,2023,24,LVR,104,451,1,RB,WhitZa01
De'Von Achane,2023,22,MIA,103,800,8,RB,AchaDe00
Emanuel Wilson,2024,25,GNB,103,502,4,RB,WilsEm00
Josh Allen,2024,28,BUF,102,531,12,QB,AlleJo02
Ty Chandler,2023,25,MIN,102,461,3,RB,ChanTy01
Nick Chubb,2024,29,CLE,102,332,3,RB,ChubNi00
Gus Edwards,2024,29,LAC,101,365,4,RB,EdwaGu00
Tyjae Spears,2023,22,TEN,100,453,2,RB,SpeaTy00
D'Andre Swift,2022,23,DET,99,542,5,RB,SwifDA00
Taysom Hill,2022,32,NOR,96,575,7,TE/QB,HillTa00
Chuba Hubbard,2022,23,CAR,95,466,2,RB,HubbCh01
Samaje Perine,2022,27,CIN,95,394,2,RB,PeriSa00
Zack Moss,2022,25,BUFIND,93,456,1,RB,MossZa00
Braelon Allen,2024,20,NYJ,92,334,2,RB,AlleBr05
J.K. Dobbins,2022,24,BAL,92,520,2,RB,DobbJK00
Bo Nix,2024,24,DEN,92,430,4,QB,NixxBo00
Melvin Gordon,2022,29,DEN,90,318,2,RB,GordMe00
James Cook,2022,23,BUF,89,507,2,RB,CookJa01
Rico Dowdle,2023,25,DAL,89,361,2,RB,DowdRi01
Gus Edwards,2022,27,BAL,87,433,3,RB,EdwaGu00
Anthony Richardson,2024,22,IND,86,499,6,QB,RichAn03
Zonovan Knight,2022,21,NYJ,85,300,1,RB,KnigZo00
Marcus Mariota,2022,29,ATL,85,438,4,QB,MariMa01
Raheem Mostert,2024,32,MIA,85,278,2,RB,MostRa00
Kenneth Gainwell,2023,24,PHI,84,364,2,RB,GainKe00
Isaac Guerendo,2024,24,SFO,84,420,4,RB,GuerIs00
Justice Hill,2023,26,BAL,84,387,3,RB,HillJu00
Tyjae Spears,2024,23,TEN,84,312,4,RB,SpeaTy00
Isiah Pacheco,2024,25,KAN,83,310,1,RB,PachIs00
Taysom Hill,2023,33,NOR,81,401,4,TE/QB,HillTa00
Roschon Johnson,2023,22,CHI,81,352,2,RB,JohnRo07
Caleb Williams,2024,23,CHI,81,489,0,QB,WillCa03
Breece Hall,2022,21,NYJ,80,463,4,RB,HallBr03
Russell Wilson,2023,35,DEN,80,341,3,QB,WilsRu00
Latavius Murray,2023,33,BUF,79,300,4,RB,MurrLa00
Kyler Murray,2024,27,ARI,78,572,5,QB,MurrKy00
Eno Benjamin,2022,23,ARIHOUNOR,77,313,2,RB,BenjEn00
Joshua Dobbs,2023,28,ARIMIN,77,421,6,QB,DobbJo00
Austin Ekeler,2024,29,WAS,77,367,4,RB,EkelAu00
Royce Freeman,2023,27,LAR,77,319,2,RB,FreeRo00
Jaylen Warren,2022,24,PIT,77,379,1,RB,WarrJa01
Audric Estime,2024,21,DEN,76,310,2,RB,EstiAu00
Caleb Huntley,2022,24,ATL,76,366,1,RB,HuntCa02
Jaleel McLaughlin,2023,23,DEN,76,410,1,RB,McLaJa00
Joe Burrow,2022,26,CIN,75,257,5,QB,BurrJo01
Kenneth Gainwell,2024,25,PHI,75,290,1,RB,GainKe00
Patrick Mahomes,2023,28,KAN,75,389,0,QB,MahoPa00
Elijah Mitchell,2023,25,SFO,75,281,2,RB,MitcEl00
Ezekiel Elliott,2024,29,DAL,74,226,3,RB,ElliEz00
Alexander Mattison,2022,24,MIN,74,283,5,RB,MattAl01
Zack Moss,2024,27,CIN,74,242,2,RB,MossZa00
Jerick McKinnon,2022,30,KAN,72,291,1,RB,McKiJe00
Clyde Edwards-Helaire,2022,23,KAN,71,302,3,RB,EdwaCl00
D'Onta Foreman,2024,28,CLE,71,232,0,RB,ForeDO00
Clyde Edwards-Helaire,2023,24,KAN,70,223,1,RB,EdwaCl00
Darrell Henderson,2022,25,LAR,70,283,3,RB,HendDa00
Trevor Lawrence,2023,24,JAX,70,339,4,QB,LawrTr00
Justin Herbert,2024,26,LAC,69,306,2,QB,HerbJu00
Joshua Kelley,2022,25,LAC,69,287,2,RB,KellJo01
Chase Edmonds,2022,26,DENMIA,68,245,2,RB,EdmoCh00
Deon Jackson,2022,23,IND,68,236,1,RB,JackDe02
Geno Smith,2022,32,SEA,68,366,1,QB,SmitGe00
Jaylen Wright,2024,21,MIA,68,249,0,RB,WrigJa04
Dalvin Cook,2023,28,NYJBAL,67,214,0,RB,CookDa01
Sam Darnold,2024,27,MIN,67,212,1,QB,DarnSa00
Daniel Jones,2024,27,NYG,67,265,2,QB,JoneDa05
Kyler Murray,2022,25,ARI,67,418,3,QB,MurrKy00
Ameer Abdullah,2024,31,LVR,66,311,2,RB,AbduAm00
Brock Purdy,2024,25,SFO,66,323,5,QB,PurdBr00
Antonio Gibson,2023,25,WAS,65,265,1,RB,GibsAn00
