Player,Season,Age,Team,Tgt,Rec,RecYds,RecTD,Pos,ID
Hunter Henry,2024,30,NWE,97,66,674,2,TE,HenrHu00
David Njoku,2024,28,CLE,97,64,505,5,TE,NjokDa00
Romeo Doubs,2023,23,GNB,96,59,674,8,WR,DoubRo00
DeAndre Hopkins,2022,30,ARI,96,64,717,3,WR,HopkDe00
Jakobi Meyers,2022,26,NWE,96,67,804,6,WR,MeyeJa01
Donovan Peoples-Jones,2022,23,CLE,96,61,839,3,WR,PeopDo00
Breece Hall,2023,22,NYJ,95,76,591,4,RB,HallBr03
Cooper Kupp,2023,30,LAR,95,59,737,5,WR,KuppCo00
Mack Hollins,2022,29,LVR,94,57,690,4,WR,HollMa00
George Kittle,2024,31,SFO,94,78,1106,8,TE,KittGe00
Jayden Reed,2023,23,GNB,94,64,793,8,WR,ReedJa03
Deebo Samuel,2022,26,SFO,94,56,632,2,WR,SamuDe00
Brandin Cooks,2022,29,HOU,93,57,699,3,WR,CookBr00
Gabriel Davis,2022,23,BUF,93,48,836,7,WR,DaviGa01
Jaxon Smith-Njigba,2023,21,SEA,93,63,628,4,WR,SmitJa06
Mike Williams,2022,28,LAC,93,63,895,4,WR,WillMi07
Curtis Samuel,2022,26,WAS,92,64,656,4,WR,SamuCu00
Parris Campbell,2022,25,IND,91,63,623,3,WR,CampPa00
Zach Ertz,2024,34,WAS,91,66,654,7,TE,ErtzZa00
Quentin Johnston,2024,23,LAC,91,55,711,8,WR,JohnQu02
Dalton Kincaid,2023,24,BUF,91,73,673,2,TE,KincDa00
Curtis Samuel,2023,27,WAS,91,62,613,4,WR,SamuCu00
Jameson Williams,2024,23,DET,91,58,1001,7,WR,WillJa11
Robert Woods,2022,30,TEN,91,53,527,2,WR,WoodRo02
George Kittle,2023,30,SFO,90,65,1020,6,TE,KittGe00
Cole Kmet,2023,24,CHI,90,73,719,6,TE,KmetCo00
K.J. Osborn,2022,25,MIN,90,60,650,5,WR,OsboKJ00
Kyle Pitts,2023,23,ATL,90,53,667,3,TE,PittKy00
Courtland Sutton,2023,28,DEN,90,59,772,10,WR,SuttCo00
Keenan Allen,2022,30,LAC,89,66,752,4,WR,AlleKe00
Alvin Kamara,2024,29,NOR,89,68,543,2,RB,KamaAl00
Deebo Samuel,2023,27,SFO,89,60,892,7,WR,SamuDe00
Dalton Schultz,2022,26,DAL,89,57,577,5,TE,SchuDa00
DeVonta Smith,2024,26,PHI,89,68,833,8,WR,SmitDe07
Dalton Schultz,2023,27,HOU,88,59,635,5,TE,SchuDa00
Rhamondre Stevenson,2022,24,NWE,88,69,421,1,RB,StevRh00
De'Von Achane,2024,23,MIA,87,78,592,6,RB,AchaDe00
Tyler Conklin,2022,27,NYJ,87,58,552,3,TE,ConkTy00
Tyler Conklin,2023,28,NYJ,87,61,621,0,TE,ConkTy00
Demario Douglas,2024,24,NWE,87,66,621,3,WR,DougDe00
Gerald Everett,2022,28,LAC,87,58,555,4,TE,EverGe00
Jerry Jeudy,2023,24,DEN,87,54,758,2,WR,JeudJe00
Diontae Johnson,2023,27,PIT,87,51,717,5,WR,JohnDi01
Ray-Ray McCloud,2024,28,ATL,87,62,686,1,WR,McClRa00
Cade Otton,2024,25,TAM,87,59,600,4,TE,OttoCa00
Jake Ferguson,2024,25,DAL,86,59,494,0,TE,FergJa00
Alvin Kamara,2023,28,NOR,86,75,466,1,RB,KamaAl00
George Kittle,2022,29,SFO,86,60,765,11,TE,KittGe00
Bijan Robinson,2023,21,ATL,86,58,487,4,RB,RobiBi01
Amari Cooper,2024,30,BUFCLE,85,44,547,4,WR,CoopAm00
Christian Kirk,2023,27,JAX,85,57,787,3,WR,KirkCh01
Jonathan Mingo,2023,22,CAR,85,43,418,0,WR,MingJo00
Dalton Schultz,2024,28,HOU,85,53,532,2,TE,SchuDa00
Xavier Legette,2024,23,CAR,84,49,497,4,WR,LegeXa00
George Pickens,2022,21,PIT,84,52,801,4,WR,PickGe00
Jahan Dotson,2023,23,WAS,83,49,518,4,WR,DotsJa00
Leonard Fournette,2022,27,TAM,83,73,523,3,RB,FourLe00
Mike Gesicki,2024,29,CIN,83,65,665,2,TE,GesiMi00
Dallas Goedert,2023,28,PHI,83,59,592,3,TE,GoedDa00
Sam LaPorta,2024,23,DET,83,60,726,7,TE,LaPoSa01
Christian McCaffrey,2023,27,SFO,83,67,564,7,RB,McCaCh01
Jaylen Waddle,2024,26,MIA,83,58,744,2,WR,WaddJa00
Tyler Boyd,2022,28,CIN,82,58,762,5,WR,BoydTy00
Brandin Cooks,2023,30,DAL,81,54,657,8,WR,CookBr00
Gabriel Davis,2023,24,BUF,81,45,746,7,WR,DaviGa01
Tank Dell,2024,25,HOU,81,51,667,3,WR,DellNa00
Marvin Jones,2022,32,JAX,81,46,529,3,WR,JoneMa02
Deebo Samuel,2024,28,SFO,81,51,670,3,WR,SamuDe00
Tre Tucker,2024,23,LVR,81,47,539,3,WR,TuckTr00
Marquez Valdes-Scantling,2022,28,KAN,81,42,687,2,WR,ValdMa00
DeAndre Hopkins,2024,32,KANTEN,80,56,610,5,WR,HopkDe00
David Njoku,2022,26,CLE,80,58,628,4,TE,NjokDa00
Chase Claypool,2022,24,CHIPIT,79,46,451,1,WR,ClayCh01
Demario Douglas,2023,23,NWE,79,49,561,0,WR,DougDe00
Darius Slayton,2023,26,NYG,79,50,770,4,WR,SlayDa01
Jalen Tolbert,2024,25,DAL,79,49,610,7,WR,TolbJa00
Pat Freiermuth,2024,26,PIT,78,65,653,7,TE,FreiPa00
Alec Pierce,2022,22,IND,78,41,593,2,WR,PierAl00
Wan'Dale Robinson,2023,22,NYG,78,60,525,1,WR,RobiWa01
Logan Thomas,2023,32,WAS,78,55,496,4,TE,ThomLo00
Alvin Kamara,2022,27,NOR,77,57,490,2,RB,KamaAl00
Chigoziem Okonkwo,2023,24,TEN,77,54,528,1,TE,OkonCh00
Saquon Barkley,2022,25,NYG,76,57,338,0,RB,BarkSa00
Breece Hall,2024,23,NYJ,76,57,483,3,RB,HallBr03
Tee Higgins,2023,24,CIN,76,42,656,5,WR,HiggTe00
Dontayvion Wicks,2024,23,GNB,76,39,415,5,WR,WickDo00
Tank Dell,2023,24,HOU,75,47,709,7,WR,DellNa00
Dalton Kincaid,2024,25,BUF,75,44,448,2,TE,KincDa00
Joe Mixon,2022,26,CIN,75,60,441,2,RB,MixoJo00
K.J. Osborn,2023,26,MIN,75,48,540,3,WR,OsboKJ00
Jayden Reed,2024,24,GNB,75,55,857,6,WR,ReedJa03
Demarcus Robinson,2022,28,BAL,75,48,458,2,WR,RobiDe01
Rashid Shaheed,2023,25,NOR,75,46,719,5,WR,ShahRa00
Robert Woods,2023,31,HOU,75,40,426,1,WR,WoodRo02
Noah Brown,2022,26,DAL,74,43,555,3,WR,BrowNo00
Austin Ekeler,2023,28,LAC,74,51,436,1,RB,EkelAu00
Michael Gallup,2022,26,DAL,74,39,424,4,WR,GallMi00
Tyler Lockett,2024,32,SEA,74,49,600,2,WR,LockTy00
Chris Moore,2022,29,HOU,74,48,548,2,WR,MoorCh00
Kyle Pitts,2024,24,ATL,74,47,602,4,TE,PittKy00
Darren Waller,2023,31,NYG,74,52,552,1,TE,WallDa01
Jaylen Warren,2023,25,PIT,74,61,370,0,RB,WarrJa01
Travis Etienne,2023,24,JAX,73,58,476,1,RB,EtieTr00
Rashod Bateman,2024,25,BAL,72,45,756,9,WR,BateRa00
Tyler Conklin,2024,29,NYJ,72,51,449,4,TE,ConkTy00
Romeo Doubs,2024,24,GNB,72,46,601,4,WR,DoubRo00
Aaron Jones,2022,28,GNB,72,59,395,5,RB,JoneAa00
Bijan Robinson,2024,22,ATL,72,61,431,1,RB,RobiBi01
Jahmyr Gibbs,2023,21,DET,71,52,316,1,RB,GibbJa01
Jerick McKinnon,2022,30,KAN,71,56,512,9,RB,McKiJe00
Darius Slayton,2022,25,NYG,71,46,724,2,WR,SlayDa01
Darius Slayton,2024,27,NYG,71,39,573,2,WR,SlayDa01
Michael Wilson,2024,24,ARI,71,47,548,4,WR,WilsMi02
Gerald Everett,2023,29,LAC,70,51,411,3,TE,EverGe00
Russell Gage,2022,26,TAM,70,51,426,5,WR,GageRu00
Tyler Higbee,2023,30,LAR,70,47,495,2,TE,HigbTy00
Richie James,2022,27,NYG,70,57,569,4,WR,JameRi00
Tucker Kraft,2024,24,GNB,70,50,707,7,TE,KrafTu00
Chigoziem Okonkwo,2024,25,TEN,70,52,479,2,TE,OkonCh00
Jonnu Smith,2023,28,ATL,70,50,582,3,TE,SmitJo01
Tyjae Spears,2023,22,TEN,70,52,385,1,RB,SpeaTy00
D'Andre Swift,2022,23,DET,70,48,389,3,RB,SwifDA00
Rachaad White,2023,24,TAM,70,64,549,3,RB,WhitRa01
Javonte Williams,2024,24,DEN,70,52,346,0,RB,WillJa10
Mark Andrews,2024,29,BAL,69,55,673,11,TE,AndrMa00
Zach Ertz,2022,32,ARI,69,47,406,4,TE,ErtzZa00
Dallas Goedert,2022,27,PHI,69,55,702,3,TE,GoedDa00
Cole Kmet,2022,23,CHI,69,50,544,7,TE,KmetCo00
Alec Pierce,2024,24,IND,69,37,824,7,WR,PierAl00
Kayshon Boutte,2024,22,NWE,68,43,589,3,WR,BoutKa00
Hayden Hurst,2022,29,CIN,68,52,414,2,TE,HursHa00
Trey Palmer,2023,22,TAM,68,39,385,3,WR,PalmTr00
Tutu Atwell,2023,24,LAR,67,39,483,3,WR,AtweTu00
Romeo Doubs,2022,22,GNB,67,42,425,3,WR,DoubRo00
Diontae Johnson,2024,28,CARHOUBAL,67,33,375,3,WR,JohnDi01
Quentin Johnston,2023,22,LAC,67,38,431,2,WR,JohnQu02
Cade Otton,2023,24,TAM,67,47,455,4,TE,OttoCa00
Tony Pollard,2023,26,DAL,67,55,311,0,RB,PollTo00
Robert Tonyan,2022,28,GNB,67,53,470,2,TE,TonyRo00
DJ Chark,2023,27,CAR,66,35,525,5,WR,CharDJ00
Nico Collins,2022,23,HOU,66,37,481,2,WR,CollNi00
Juwan Johnson,2024,28,NOR,66,50,548,3,TE,JohnJu02
Christian Watson,2022,23,GNB,66,41,611,7,WR,WatsCh00
Chase Brown,2024,24,CIN,65,54,360,4,RB,BrowCh10
DeAndre Carter,2022,29,LAC,65,46,538,3,WR,CartDe02
Ezekiel Elliott,2023,28,NWE,65,51,313,2,RB,ElliEz00
Juwan Johnson,2022,26,NOR,65,42,508,7,TE,JohnJu02
Dawson Knox,2022,26,BUF,65,48,517,6,TE,KnoxDa00
Isaiah McKenzie,2022,27,BUF,65,42,423,4,WR,McKeIs00
Elijah Moore,2022,22,NYJ,65,37,446,1,WR,MoorEl00
Cade Otton,2022,23,TAM,65,42,391,2,TE,OttoCa00
Josh Palmer,2024,25,LAC,65,39,584,1,WR,PalmJo00
Alec Pierce,2023,23,IND,65,32,514,2,WR,PierAl00
Odell Beckham Jr.,2023,31,BAL,64,35,565,3,WR,BeckOd00
Corey Davis,2022,27,NYJ,64,32,536,2,WR,DaviCo03
Stefon Diggs,2024,31,HOU,64,47,496,3,WR,DiggSt00
Will Dissly,2024,28,LAC,64,50,481,2,TE,DissWi00
Greg Dortch,2022,24,ARI,64,52,467,2,WR,DortGr01
Evan Engram,2024,30,JAX,64,47,365,1,TE,EngrEv00
Noah Fant,2024,27,SEA,64,48,500,1,TE,FantNo00
Josh Jacobs,2022,24,LVR,64,53,400,0,RB,JacoJo01
Zay Jones,2023,28,JAX,64,34,321,2,WR,JoneZa00
Joe Mixon,2023,27,CIN,64,52,376,3,RB,MixoJo00
Kalif Raymond,2022,28,DET,64,47,616,0,WR,RaymKa00
Josh Reynolds,2023,28,DET,64,40,608,5,WR,ReynJo00
Demarcus Robinson,2024,30,LAR,64,31,505,7,WR,RobiDe01
Michael Thomas,2023,30,NOR,64,39,448,1,WR,ThomMi05
Olamide Zaccheaus,2024,27,WAS,64,45,506,3,WR,ZaccOl01
Noah Fant,2022,25,SEA,63,50,486,4,TE,FantNo00
Jerome Ford,2023,24,CLE,63,44,319,5,RB,FordJe00
Jahmyr Gibbs,2024,22,DET,63,52,517,4,RB,GibbJa01
Tutu Atwell,2024,25,LAR,62,42,562,0,WR,AtweTu00
Chris Godwin,2024,28,TAM,62,50,576,5,WR,GodwCh00
T.J. Hockenson,2024,27,MIN,62,41,455,0,TE,HockTJ00
Aaron Jones,2024,30,MIN,62,51,408,2,RB,JoneAa00
Rondale Moore,2023,23,ARI,62,40,352,1,WR,MoorRo02
Adam Thielen,2024,34,CAR,62,48,615,5,WR,ThieAd00
Mark Andrews,2023,28,BAL,61,45,544,6,TE,AndrMa00
Jahan Dotson,2022,22,WAS,61,35,523,7,WR,DotsJa00
Hunter Henry,2023,29,NWE,61,42,419,6,TE,HenrHu00
Andrei Iosivas,2024,25,CIN,61,36,479,6,WR,IosiAn00
Darnell Mooney,2022,25,CHI,61,40,493,2,WR,MoonDa00
Darnell Mooney,2023,26,CHI,61,31,414,1,WR,MoonDa00
Josh Palmer,2023,24,LAC,61,38,581,2,WR,PalmJo00
Ben Skowronek,2022,25,LAR,61,39,376,0,WR,SkowBe00
Logan Thomas,2022,31,WAS,61,39,323,1,TE,ThomLo00
Olamide Zaccheaus,2022,25,ATL,61,40,533,3,WR,ZaccOl01
Saquon Barkley,2023,26,NYG,60,41,280,4,RB,BarkSa00
Austin Hooper,2022,28,TEN,60,41,444,2,TE,HoopAu00
Allen Lazard,2024,29,NYJ,60,37,530,6,WR,LazaAl00
Isaiah Likely,2022,22,BAL,60,36,373,3,TE,LikeIs00
Nick Westbrook-Ikhine,2024,27,TEN,60,32,497,9,WR,WestNi00
Antonio Gibson,2023,25,WAS,59,48,389,2,RB,GibsAn00
Hunter Henry,2022,28,NWE,59,41,509,2,TE,HenrHu00
Austin Hooper,2024,30,NWE,59,45,476,3,TE,HoopAu00
Juwan Johnson,2023,27,NOR,59,37,368,4,TE,JohnJu02
Kyle Pitts,2022,22,ATL,59,28,356,2,TE,PittKy00
Josh Reynolds,2022,27,DET,59,38,479,3,WR,ReynJo00
Jordan Akins,2024,32,CLE,58,40,390,2,TE,AkinJo00
Calvin Austin III,2024,25,PIT,58,36,548,4,WR,AustCa00
James Conner,2022,27,ARI,58,46,300,1,RB,ConnJa00
Antonio Gibson,2022,24,WAS,58,46,353,2,RB,GibsAn00
Isaiah Likely,2024,24,BAL,58,42,477,6,TE,LikeIs00
Jalen McMillan,2024,23,TAM,58,37,461,8,WR,McMiJa01
Rachaad White,2022,23,TAM,58,50,290,2,RB,WhitRa01
Dontayvion Wicks,2023,22,GNB,58,39,581,4,WR,WickDo00
Javonte Williams,2023,23,DEN,58,47,228,2,RB,WillJa10
Michael Wilson,2023,23,ARI,58,38,565,3,WR,WilsMi02
Tyler Boyd,2024,30,TEN,57,39,390,0,WR,BoydTy00
Keon Coleman,2024,21,BUF,57,29,556,4,WR,ColeKe02
Michael Gallup,2023,27,DAL,57,34,418,2,WR,GallMi00
David Moore,2024,29,CAR,57,32,351,3,WR,MoorDa03
Tony Pollard,2024,27,TEN,57,41,238,0,RB,PollTo00
Rachaad White,2024,25,TAM,57,51,393,6,RB,WhitRa01
Rashod Bateman,2023,24,BAL,56,32,367,1,WR,BateRa00
Noah Brown,2024,28,WAS,56,35,453,1,WR,BrowNo00
Dalvin Cook,2022,27,MIN,56,39,295,2,RB,CookDa01
Jauan Jennings,2022,25,SFO,56,35,416,1,WR,JennJa00
Rondale Moore,2022,22,ARI,56,41,414,1,WR,MoorRo02
Samaje Perine,2023,28,DEN,56,50,455,0,RB,PeriSa00
Kendrick Bourne,2023,28,NWE,55,37,406,4,WR,BourKe00
Noah Brown,2023,27,HOU,55,33,567,2,WR,BrowNo00
James Conner,2024,29,ARI,55,47,414,1,RB,ConnJa00
Greg Dulcich,2022,22,DEN,55,33,411,2,TE,DulcGr00
Cole Kmet,2024,25,CHI,55,47,474,4,TE,KmetCo00
Adonai Mitchell,2024,22,IND,55,23,312,0,WR,MitcAd00
DeVante Parker,2023,30,NWE,55,33,394,0,WR,ParkDe01
Tony Pollard,2022,25,DAL,55,39,371,3,RB,PollTo00
Devaughn Vele,2024,27,DEN,55,41,475,3,WR,VeleDe00
Jordan Akins,2022,30,HOU,54,37,495,5,TE,AkinJo00
Treylon Burks,2022,22,TEN,54,33,444,1,WR,BurkTr00
Michael Carter,2022,23,NYJ,54,41,288,0,RB,CartMi03
